sample_id,add_error,obj_id,instance_id,scene_id,is_valid
891,0.007205389104708313,7,7_17_7_29_7,0,True
892,0.0067772085166790475,13,13_44_13_59_13,0,True
893,0.017732956415315932,14,14_2_14_45_14,0,True
894,0.024248686662280635,19,19_23_19_41_19,0,True
895,0.027239641124644883,21,21_45_21_63_21,0,True
896,0.026321921094543645,14,14_0_14_33_14,0,True
897,0.028780861854011346,19,19_16_19_55_19,0,True
898,0.025756912031591455,3,3_10_3_68_3,0,True
899,0.012108782804635636,18,18_43_18_84_18,0,True
900,0.025085651469812367,1,1_5_1_25_1,0,True
901,0.005734882820981715,15,15_61_15_71_15,0,True
902,0.015514176679861207,16,16_0_16_14_16,0,True
903,0.019517578941647414,19,19_15_19_65_19,0,True
904,0.01352569384456885,2,2_21_2_50_2,0,True
905,0.004687531077274539,10,10_21_10_46_10,0,True
906,0.014414570042858349,8,8_9_8_59_8,0,True
907,0.01570320778723364,10,10_26_10_59_10,0,True
908,0.01406837210054687,18,18_48_18_79_18,0,True
909,0.017700575054543317,10,10_26_10_46_10,0,True
910,0.019069671006637284,1,1_63_1_77_1,0,True
911,0.10135585253627806,8,8_25_8_50_8,0,True
912,0.015353150264954507,20,20_20_20_70_20,0,True
913,0.019868974619806197,21,21_25_21_65_21,0,True
914,0.07640913461924669,8,8_26_8_45_8,0,True
915,0.01995019744286728,13,13_35_13_68_13,0,True
916,0.02000749069137813,1,1_4_1_41_1,0,True
917,0.03011973711792258,19,19_14_19_44_19,0,True
918,0.010795868463743138,3,3_24_3_54_3,0,True
919,0.0024981439807368164,10,10_6_10_16_10,0,True
920,0.01871390713944359,14,14_7_14_70_14,0,True
921,0.008501105174077046,7,7_9_7_45_7,0,True
922,0.005236480270778739,16,16_3_16_63_16,0,True
923,0.013463064552303382,2,2_29_2_40_2,0,True
924,0.004289745660869437,13,13_47_13_59_13,0,True
925,0.00828201244448853,4,4_16_4_40_4,0,True
926,0.02457796437190553,20,20_23_20_69_20,0,True
927,0.04662396028659071,15,15_1_15_56_15,0,True
928,0.022638287771576348,11,11_1_11_49_11,0,True
929,0.024177840116029713,14,14_8_14_33_14,0,True
930,0.01343952272455136,4,4_41_4_66_4,0,True
931,0.012441391125814577,4,4_39_4_75_4,0,True
932,0.059590612301771366,4,4_13_4_27_4,0,True
933,0.014054528055935737,10,10_13_10_76_10,0,True
934,0.005642611192079766,12,12_34_12_47_12,0,True
935,0.01187471730560576,8,8_48_8_79_8,0,True
936,0.03008844555743218,9,9_20_9_54_9,0,True
937,0.002812724373648481,13,13_9_13_63_13,0,True
938,0.32289322926074077,21,21_3_21_40_21,0,True
939,0.019902921820313252,1,1_1_1_26_1,0,True
940,0.04014814872485326,14,14_5_14_23_14,0,True
941,0.04574390736722746,3,3_41_3_58_3,0,True
942,0.07442478088970199,9,9_22_9_52_9,0,True
943,0.0170060675279324,3,3_7_3_27_3,0,True
944,0.0029506133440477915,2,2_42_2_72_2,0,True
945,0.003527388873296892,13,13_6_13_24_13,0,True
946,0.016618943401703654,16,16_12_16_30_16,0,True
947,0.042035135272245866,8,8_30_8_47_8,0,True
948,0.04865623874357808,8,8_6_8_60_8,0,True
949,0.01651899755490546,5,5_47_5_66_5,0,True
950,0.010849100571636605,5,5_9_5_79_5,0,True
951,0.014832676289455494,7,7_41_7_54_7,0,True
952,0.021017458854835032,17,17_4_17_49_17,0,True
953,0.006907146796512508,4,4_44_4_54_4,0,True
954,0.02745291909241264,15,15_58_15_79_15,0,True
955,0.0310237835548678,19,19_36_19_54_19,0,True
956,0.012752296186780561,3,3_44_3_78_3,0,True
957,0.023146286139050364,4,4_7_4_55_4,0,True
958,0.012535371678094669,13,13_32_13_43_13,0,True
959,0.012220614580644983,3,3_10_3_75_3,0,True
960,0.006336250841712285,4,4_35_4_70_4,0,True
961,0.0850038476564454,8,8_26_8_43_8,0,True
962,0.030381167931135915,14,14_13_14_30_14,0,True
963,0.02678925823869431,7,7_28_7_69_7,0,True
964,0.02388315525505554,9,9_1_9_74_9,0,True
965,0.014718129995678673,3,3_48_3_71_3,0,True
966,0.014470460695557243,20,20_28_20_64_20,0,True
967,0.010315759602724859,20,20_19_20_32_20,0,True
968,0.020437580582114895,11,11_22_11_58_11,0,True
969,0.021430615888574662,20,20_24_20_67_20,0,True
970,0.008562216438861396,4,4_35_4_77_4,0,True
971,0.010389478919418616,18,18_28_18_40_18,0,True
972,0.015062817641775781,1,1_16_1_42_1,0,True
973,0.009073884776455052,6,6_12_6_75_6,0,True
974,0.1274019765961398,8,8_28_8_46_8,0,True
975,0.011903963912636366,4,4_7_4_41_4,0,True
976,0.014251554942028066,2,2_13_2_53_2,0,True
977,0.01104146902028036,13,13_6_13_71_13,0,True
978,0.02737206260698289,18,18_51_18_83_18,0,True
979,0.016710114312544613,7,7_27_7_40_7,0,True
980,0.02975861190187173,9,9_44_9_68_9,0,True
981,0.016493844869278566,17,17_47_17_59_17,0,True
982,0.01601462711865,21,21_30_21_40_21,0,True
983,0.043152835890943146,6,6_34_6_45_6,0,True
984,0.013070537794386251,1,1_2_1_43_1,0,True
985,0.05843489276651962,10,10_18_10_36_10,0,True
986,0.055717855946261816,4,4_20_4_40_4,0,True
987,0.017795162440548472,15,15_45_15_67_15,0,True
988,0.01759393200978297,6,6_23_6_63_6,0,True
989,0.09505263012540328,20,20_59_20_75_20,0,True
990,0.005957723785837093,13,13_7_13_19_13,0,True
991,0.003688586824823966,10,10_14_10_27_10,0,True
248,0.018122837184004637,10,10_41_10_60_10,0,True
249,0.013470075593089841,3,3_10_3_22_3,0,True
250,0.01939622696605337,12,12_5_12_39_12,0,True
251,0.0918093764138918,3,3_31_3_64_3,0,True
252,0.06126842446802495,19,19_3_19_63_19,0,True
253,0.01310073150543508,17,17_9_17_58_17,0,True
254,0.2119928064536357,8,8_40_8_58_8,0,True
255,0.009881481478299281,3,3_37_3_79_3,0,True
